SimulationID,NodeID,NodeType,EnergyConsumed
3,104,Relay/Other,"47,52412"
3,105,Relay/Other,"72,79706"
3,106,Relay/Other,"55,43410"
3,107,Relay/Other,"44,53280"
3,108,Relay/Other,"33,25112"
3,109,Relay/Other,"24,54984"
3,110,Relay/Other,"67,35520"
3,111,Relay/Other,"50,37155"
3,112,Relay/Other,"104,03639"
3,113,Relay/Other,"125,88243"
3,114,Relay/Other,"62,55034"
3,115,Relay/Other,"52,55572"
3,116,Relay/Other,"52,34604"
3,117,Relay/Other,"25,45972"
3,118,Relay/Other,"29,60929"
3,119,Relay/Other,"103,32894"
3,120,Relay/Other,"12,90821"
3,121,Relay/Other,"80,56571"
3,122,Relay/Other,"105,73136"
3,123,Relay/Other,"71,51231"
3,124,Relay/Other,"43,94972"
3,125,Relay/Other,"72,19493"
3,126,Relay/Other,"33,05164"
3,127,Relay/Other,"55,54557"
3,128,Relay/Other,"96,16869"
3,129,Relay/Other,"65,39627"
3,130,Relay/Other,"75,53547"
3,131,Relay/Other,"101,90943"
3,132,Relay/Other,"52,83574"
3,133,Relay/Other,"30,29729"
3,134,Relay/Other,"78,29223"
3,135,Relay/Other,"48,16098"
3,136,Relay/Other,"100,34186"
3,137,Relay/Other,"28,23009"
3,138,Relay/Other,"57,97407"
3,139,Relay/Other,"110,10964"
3,140,Relay/Other,"26,63124"
3,141,Relay/Other,"28,03847"
3,142,Relay/Other,"47,96311"
3,143,Relay/Other,"24,38468"
3,144,Relay/Other,"63,92152"
3,145,Relay/Other,"40,07788"
3,146,Relay/Other,"48,63778"
3,147,Relay/Other,"23,03212"
3,148,Relay/Other,"34,44629"
3,149,Relay/Other,"90,85289"
3,150,Relay/Other,"107,07803"
3,151,Relay/Other,"64,06317"
3,152,Relay/Other,"65,85726"
3,153,Relay/Other,"25,14607"
3,154,Relay/Other,"42,69271"
3,155,Relay/Other,"20,63929"
3,156,Relay/Other,"84,24189"
3,157,Relay/Other,"29,22619"
3,158,Relay/Other,"77,84141"
3,159,Relay/Other,"30,65763"
3,160,Relay/Other,"62,11401"
3,161,Relay/Other,"33,49307"
3,162,Relay/Other,"46,27083"
3,163,Relay/Other,"26,15059"
3,164,Relay/Other,"87,37515"
3,165,Relay/Other,"69,26601"
3,166,Relay/Other,"49,75806"
3,167,Relay/Other,"31,15384"
3,168,Relay/Other,"39,12167"
3,169,Relay/Other,"50,21919"
3,170,Relay/Other,"44,35466"
3,171,Relay/Other,"74,80924"
3,172,Relay/Other,"78,12952"
3,173,Relay/Other,"20,22355"
3,174,Relay/Other,"79,09475"
3,175,Relay/Other,"106,02175"
3,176,Relay/Other,"58,71172"
3,177,Relay/Other,"92,94828"
3,178,Relay/Other,"101,41645"
3,179,Relay/Other,"30,25417"
3,180,Relay/Other,"45,03962"
3,181,Relay/Other,"113,97634"
3,182,Relay/Other,"28,84241"
3,183,Relay/Other,"130,82876"
3,184,Relay/Other,"128,25784"
3,185,Relay/Other,"52,15180"
3,186,Relay/Other,"21,06280"
3,187,Relay/Other,"77,59152"
3,188,Relay/Other,"34,49517"
3,189,Relay/Other,"43,64607"
3,190,Relay/Other,"28,95878"
3,191,Relay/Other,"23,50232"
3,192,Relay/Other,"50,27774"
3,193,Relay/Other,"31,80364"
3,194,Relay/Other,"60,72385"
3,195,Relay/Other,"51,24211"
3,196,Relay/Other,"76,45767"
3,197,Relay/Other,"59,34279"
3,198,Relay/Other,"74,76354"
3,199,Relay/Other,"54,15178"
3,200,Relay/Other,"63,20750"
4,1,Client,"1661,46036"
4,2,Client,"650,62533"
4,3,Client,"1561,41960"
4,4,Client,"1826,72474"
4,5,Client,"1442,02884"
4,6,Client,"1997,94359"
4,7,Client,"446,59818"
4,8,Client,"2112,64183"
4,9,Client,"998,23073"
4,10,Client,"1638,63475"
4,11,Client,"858,11699"
4,12,Client,"1370,11298"
4,13,Client,"1053,06829"
4,14,Client,"1201,28375"
4,15,Client,"611,60521"
4,16,Client,"1744,13556"
4,17,Malicious Server,"89,68485"
4,18,Malicious Server,"122,26334"
4,19,Malicious Server,"146,15484"
4,20,Malicious Server,"71,86217"
4,21,Malicious Server,"64,65396"
4,22,Malicious Server,"171,44956"
4,23,Malicious Server,"45,92967"
4,24,Malicious Server,"63,58635"
4,25,Malicious Server,"95,60685"
4,26,Malicious Server,"90,12260"
4,27,Malicious Server,"109,43409"
4,28,Malicious Server,"90,35918"
4,29,Malicious Server,"80,60620"
4,30,Malicious Server,"145,94831"
4,31,Benevolent Server,"92,47394"
4,32,Benevolent Server,"54,56919"
4,33,Benevolent Server,"24,05291"
4,34,Benevolent Server,"19,21731"
4,35,Benevolent Server,"99,06217"
4,36,Benevolent Server,"22,06939"
4,37,Benevolent Server,"31,56063"
4,38,Benevolent Server,"32,58085"
4,39,Benevolent Server,"21,72738"
4,40,Benevolent Server,"44,78063"
4,41,Benevolent Server,"33,05183"
4,42,Benevolent Server,"42,47409"
4,43,Benevolent Server,"63,03921"
4,44,Benevolent Server,"37,64702"
4,45,Benevolent Server,"46,44606"
4,46,Benevolent Server,"23,90189"
4,47,Benevolent Server,"109,28105"
4,48,Benevolent Server,"94,02182"
4,49,Benevolent Server,"56,58900"
4,50,Benevolent Server,"98,62943"
4,51,Benevolent Server,"42,01114"
4,52,Benevolent Server,"25,74275"
4,53,Benevolent Server,"102,36100"
4,54,Benevolent Server,"45,68887"
4,55,Benevolent Server,"43,89934"
4,56,Benevolent Server,"49,20871"
